epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,6929.14,0.3923,0.35206,0.90508,0.97972,0.94884,0.95122,0.90118,0.32899,0.45733,0.81097,0.000722372,0.000722372,0.000722372
108,6996.07,0.41043,0.35653,0.90765,0.97978,0.9548,0.95118,0.89637,0.3209,0.31052,0.80236,0.000718706,0.000718706,0.000718706
109,7062.33,0.38614,0.35547,0.89837,0.98079,0.95569,0.95107,0.89745,0.33487,0.31528,0.81143,0.00071504,0.00071504,0.00071504
110,7128.23,0.39328,0.35081,0.90112,0.9809,0.95569,0.95094,0.90217,0.35186,0.31369,0.80565,0.000711373,0.000711373,0.000711373
111,7198.05,0.41018,0.36576,0.91607,0.97862,0.95569,0.95388,0.90599,0.32515,0.32375,0.80936,0.000707707,0.000707707,0.000707707
112,7264.78,0.41186,0.36138,0.91739,0.97744,0.95569,0.95708,0.90642,0.32473,0.31461,0.80926,0.000704041,0.000704041,0.000704041
113,7326.67,0.39451,0.35043,0.90456,0.98062,0.95569,0.95562,0.90489,0.34429,0.31528,0.82988,0.000700374,0.000700374,0.000700374
114,7393.52,0.40605,0.36181,0.91079,0.97991,0.95569,0.9499,0.89667,0.34236,0.32898,0.83028,0.000696708,0.000696708,0.000696708
115,7461.57,0.39095,0.34791,0.91166,0.97756,0.95569,0.95021,0.89475,0.33953,0.34733,0.81417,0.000693042,0.000693042,0.000693042
116,7526.1,0.40877,0.36679,0.9131,0.97977,0.95569,0.95039,0.8971,0.33545,0.32049,0.82197,0.000689376,0.000689376,0.000689376
117,7593.53,0.41641,0.3658,0.91581,0.98114,0.95569,0.94897,0.89357,0.33998,0.30639,0.81783,0.000685709,0.000685709,0.000685709
